fips,state_name,county_name,month,haz_days
37067,North Carolina,Forsyth,6,1.0
06001,California,Alameda,10,1.0
25005,Massachusetts,Bristol,7,1.0
35045,New Mexico,San Juan,8,1.0
42043,Pennsylvania,Dauphin,12,1.0
13121,Georgia,Fulton,5,1.0
42125,Pennsylvania,Washington,7,1.0
08031,Colorado,Denver,8,1.0
06099,California,Stanislaus,5,1.0
35025,New Mexico,Lea,6,1.0
42091,Pennsylvania,Montgomery,9,1.0
29095,Missouri,Jackson,8,1.0
39049,Ohio,Franklin,7,1.0
49035,Utah,Salt Lake,12,1.0
55027,Wisconsin,Dodge,4,1.0
29510,Missouri,St Louis City,7,1.0
48349,Texas,Navarro,2,1.0
47107,Tennessee,McMinn,11,1.0
49003,Utah,Box Elder,7,1.0
38015,North Dakota,Burleigh,8,1.0
42003,Pennsylvania,Allegheny,1,1.0
38015,North Dakota,Burleigh,7,1.0
56033,Wyoming,Sheridan,8,1.0
06037,California,Los Angeles,1,1.0
48027,Texas,Bell,8,1.0
42003,Pennsylvania,Allegheny,7,1.0
11001,District of Columbia,District of Columbia,9,1.0
17031,Illinois,Cook,8,1.0
02020,Alaska,Anchorage,8,1.0
06027,California,Inyo,5,1.0
36029,New York,Erie,6,1.0
42095,Pennsylvania,Northampton,6,1.0
17119,Illinois,Madison,7,1.0
39017,Ohio,Butler,7,1.0
18097,Indiana,Marion,5,1.0
39023,Ohio,Clark,5,1.0
08045,Colorado,Garfield,7,1.0
01097,Alabama,Mobile,5,1.0
47157,Tennessee,Shelby,7,1.0
24510,Maryland,Baltimore City,5,1.0
47163,Tennessee,Sullivan,9,1.0
25021,Massachusetts,Norfolk,5,1.0
06111,California,Ventura,5,1.0
04019,Arizona,Pima,5,1.0
42045,Pennsylvania,Delaware,6,1.0
38065,North Dakota,Oliver,7,1.0
06065,California,Riverside,2,1.0
25009,Massachusetts,Essex,5,1.0
25009,Massachusetts,Essex,7,1.0
08031,Colorado,Denver,6,1.0
42011,Pennsylvania,Berks,7,1.0
38025,North Dakota,Dunn,7,1.0
11001,District of Columbia,District of Columbia,6,1.0
34041,New Jersey,Warren,5,1.0
01073,Alabama,Jefferson,9,1.0
17115,Illinois,Macon,6,1.0
22121,Louisiana,West Baton Rouge,5,1.0
17119,Illinois,Madison,9,1.0
42003,Pennsylvania,Allegheny,10,1.0
06053,California,Monterey,11,1.0
29095,Missouri,Jackson,4,1.0
21101,Kentucky,Henderson,9,1.0
42007,Pennsylvania,Beaver,7,1.0
13089,Georgia,De Kalb,6,1.0
55079,Wisconsin,Milwaukee,6,1.0
16005,Idaho,Bannock,8,1.0
38017,North Dakota,Cass,7,1.0
55059,Wisconsin,Kenosha,9,1.0
34027,New Jersey,Morris,5,1.0
01073,Alabama,Jefferson,10,1.0
34017,New Jersey,Hudson,9,1.0
40109,Oklahoma,Oklahoma,8,1.0
26147,Michigan,St Clair,6,1.0
53073,Washington,Whatcom,3,1.0
17143,Illinois,Peoria,6,1.0
06077,California,San Joaquin,2,1.0
17163,Illinois,St Clair,7,1.0
38105,North Dakota,Williams,11,1.0
49013,Utah,Duchesne,6,1.0
06013,California,Contra Costa,10,1.0
06067,California,Sacramento,5,1.0
51059,Virginia,Fairfax,9,1.0
06073,California,San Diego,3,1.0
